student_id,name,age,grade,email,school_email
1,Zane1,21,C,zane1@school.edu,zane105w@gmail.com
3,Wendy3,22,B,wendy3@yahoo.com,wendy3xfs@yahoo.com
4,Xander4,22,A,xander4@outlook.com,xander48m2@gmail.com
5,Victor5,19,A,victor5@gmail.com,victor5qof@gmail.com
6,Ian6,19,D,ian6@outlook.com,ian6q5m@outlook.com
7,Leo7,22,A,leo7@gmail.com,leo72tg@yahoo.com
8,Paul8,24,B,paul8@outlook.com,paul8bvh@example.com
9,Wendy9,23,B,wendy9@school.edu,wendy9n70@outlook.com
10,Leo10,23,A,leo10@yahoo.com,leo101vo@example.com
11,Uma11,18,C,uma11@school.edu,uma11i2m@gmail.com
12,Rita12,18,B,rita12@outlook.com,rita12qyp@outlook.com
13,Yara13,22,B,yara13@yahoo.com,yara13ehu@yahoo.com
14,Bob14,19,C,bob14@outlook.com,bob14j91@gmail.com
15,Quincy15,24,A,quincy15@school.edu,quincy154h1@gmail.com
16,Tina16,19,A,tina16@yahoo.com,tina162oc@outlook.com
17,Alice17,25,B,alice17@outlook.com,alice17sa2@example.com
18,Sam18,20,B,sam18@gmail.com,sam18b92@gmail.com
19,Paul19,23,A,paul19@school.edu,paul19gzn@example.com
20,Victor20,19,D,victor20@gmail.com,victor20he9@example.com
21,Frank21,23,A,frank21@school.edu,frank21wkx@yahoo.com
22,Victor22,18,A,victor22@yahoo.com,victor22r58@example.com
23,Karen23,25,A,karen23@yahoo.com,karen23r13@gmail.com
24,Grace24,24,D,grace24@gmail.com,grace24z3e@example.com
25,Quincy25,25,A,quincy25@school.edu,quincy25had@example.com
26,Mona26,20,D,mona26@gmail.com,mona2604r@example.com
27,Uma27,22,B,uma27@school.edu,uma27fob@example.com
28,Nina28,23,B,nina28@yahoo.com,nina28kqj@yahoo.com
29,Ian29,23,B,ian29@school.edu,ian29ttn@yahoo.com
30,Tina30,23,A,tina30@outlook.com,tina30mtm@gmail.com
31,Nina31,22,B,nina31@school.edu,nina31s4x@example.com
32,Hannah32,21,A,hannah32@school.edu,hannah327hy@gmail.com
33,David33,25,D,david33@school.edu,david33xql@yahoo.com
34,Wendy34,22,B,wendy34@yahoo.com,wendy349go@yahoo.com
35,Frank35,25,C,frank35@yahoo.com,frank35qfz@outlook.com
36,Paul36,22,D,paul36@outlook.com,paul36hb7@yahoo.com
37,Ian37,21,D,ian37@school.edu,ian37puz@yahoo.com
38,Paul38,20,C,paul38@outlook.com,paul38dr6@example.com
39,Hannah39,18,A,hannah39@outlook.com,hannah39azl@yahoo.com
40,Zane40,21,A,zane40@yahoo.com,zane40ic3@gmail.com
41,Ian41,24,D,ian41@outlook.com,ian41kby@gmail.com
42,Quincy42,24,C,quincy42@gmail.com,quincy42r7v@gmail.com
43,Quincy43,25,D,quincy43@gmail.com,quincy43i98@gmail.com
44,Tina44,19,C,tina44@outlook.com,tina44txs@example.com
45,Xander45,23,C,xander45@yahoo.com,xander45pb5@example.com
46,Zane46,25,C,zane46@gmail.com,zane46scl@outlook.com
47,Eva47,19,D,eva47@yahoo.com,eva47h7k@gmail.com
48,Leo48,22,B,leo48@outlook.com,leo48o6k@gmail.com
49,Uma49,25,A,uma49@school.edu,uma49e8l@yahoo.com
50,Bob50,22,D,bob50@gmail.com,bob50pr6@gmail.com
51,Karen51,18,A,karen51@outlook.com,karen5154w@example.com
52,Hannah52,23,A,hannah52@yahoo.com,hannah52i0u@outlook.com
53,Bob53,21,C,bob53@outlook.com,bob53hrf@example.com
